heCode,name,before,after
"HE-N-B-M12","九首彩凤白底圆绣片","色彩判定：白底搭配红、绿、橙、紫多色，多色系","纹样判定：凤凰、花草或云纹，属于自然纹样；寓意判定：寓意祥瑞、美好与兴盛，属于吉祥祈福类；色彩判定：主色比例为灰色占比39%，红色占比12%，粉色占比9%，绿色占比9%，橙色占比9%，归多色系"
"HE-N-B-M01","鸿图大展双狮戏绣球汉绣","纹样判定：主体为狮子、花卉，属于自然瑞兽花鸟物象；寓意判定：寄托事业兴旺、阖家美满，属于吉祥祈福类；色彩判定：红、黄、绿、蓝、金多色均衡分布，无单一主色","纹样判定：狮子、绣球、花叶，属于自然纹样；寓意判定：寓意纳福、喜庆与护佑、寓意圆满与喜庆，属于吉祥祈福类；色彩判定：主色比例为蓝色占比73%，黄色占比13%，归多色系"
"HE-N-B-B10","三色牡丹黑底装饰绣片","色彩判定：黑色基底为主，归蓝黑色系","纹样判定：牡丹、花叶，属于自然纹样；寓意判定：寓意富贵、繁荣与圆满，属于吉祥祈福类；色彩判定：主色比例为黑色占比68%，黄色占比14%，绿色占比8%，归蓝绿色系"
"HE-N-B-B03","丹凤牡丹圆框汉绣","暂无资料","纹样判定：凤凰、花草或云纹、牡丹、花叶，属于自然纹样；寓意判定：寓意祥瑞、美好与兴盛、寓意富贵、繁荣与圆满，属于吉祥祈福类；色彩判定：主色比例为蓝色占比48%，绿色占比14%，红色占比14%，白色占比7%，灰色占比4%，归蓝绿色系"
"HE-H-S-M12","鸳鸯荷花繁花汉绣","纹样判定：主体鸳鸯、荷花、各类花草藤蔓，属于自然花鸟物象；寓意判定：鸳鸯象征夫妻恩爱，荷花寓意和和美美，整体为婚嫁祈福类；色彩判定：红、粉、黄、蓝、绿、紫多色丝线均衡分布，无单一主导色调","纹样判定：荷花、莲叶或水禽、鸳鸯、花鸟，属于人文 / 民俗纹样；寓意判定：按HE寓意分类归为精神信仰类；色彩判定：主色比例为蓝色占比41%，灰色占比14%，黄色占比9%，绿色占比7%，橙色占比6%，归多色系"
"HE-N-B-B09","黑底五福捧寿圆团花绣","色彩判定：黑底为主，红、蓝、金点缀，蓝黑色系","纹样判定：蝙蝠、寿字或花果、寿字、花果或祥瑞纹样，属于自然纹样；寓意判定：寓意福寿、纳福与安康、寓意长寿、安康与福寿双全，属于吉祥祈福类；色彩判定：主色比例为黑色占比59%，蓝色占比17%，红色占比10%，黄色占比5%，归蓝绿色系"
"HE-H-S-B08","军运兵兵江城地标深蓝底纪念汉绣","色彩判定：深蓝缎面基底为画面基底主视觉，彩色物象仅衬托，蓝黑色系","纹样判定：按HE分类归为人文 / 民俗纹样；寓意判定：按HE寓意分类归为精神信仰类；色彩判定：主色比例为蓝色占比73%，灰色占比6%，黄色占比5%，黑色占比4%，白色占比4%，归蓝绿色系"
"HE-N-B-R03","凤栖牡丹橙底汉绣","暂无资料","纹样判定：凤凰、花草或云纹、牡丹、花叶，属于自然纹样；寓意判定：寓意祥瑞、美好与兴盛、寓意富贵、繁荣与圆满，属于吉祥祈福类；色彩判定：主色比例为棕色占比39%，金色占比25%，绿色占比8%，橙色占比7%，黑色占比6%，归红色系"
"HE-N-S-M01","凤鸣楚天群凤横向壁挂汉绣","暂无资料","纹样判定：凤凰、花草或云纹，属于自然纹样；寓意判定：按HE寓意分类归为精神信仰类；色彩判定：主色比例为黑色占比33%，蓝色占比26%，红色占比14%，绿色占比10%，橙色占比7%，归多色系"
"HE-N-L-R02","半开粉荷白底汉绣","暂无资料","纹样判定：荷花、莲叶或水禽，属于自然纹样；寓意判定：按HE寓意分类归为生活志趣类；色彩判定：主色比例为橙色占比51%，红色占比46%，归红色系"
"HE-N-B-R01","双狮戏绣球圆框汉绣","暂无资料","纹样判定：狮子、绣球、花叶，属于自然纹样；寓意判定：寓意纳福、喜庆与护佑、寓意圆满与喜庆，属于吉祥祈福类；色彩判定：主色比例为红色占比43%，黄色占比18%，粉色占比11%，灰色占比6%，紫色占比6%，归红色系"
"HE-N-B-B01","双龙捧寿银线汉绣","纹样判定：双龙、祥云、火焰，属于自然瑞兽云纹物象；寓意判定：祈求福寿双全、长辈安康，属于吉祥祈福类；色彩判定：湖蓝绸缎底色 + 深浅银蓝绣线，整体以蓝色为主视觉","纹样判定：双龙、祥云、寿字、花果或祥瑞纹样，属于自然纹样；寓意判定：寓意护佑、福寿与圆满、寓意长寿、安康与福寿双全，属于吉祥祈福类；色彩判定：主色比例为蓝色占比76%，灰色占比19%，归蓝绿色系"
"HE-N-S-M04","古黄鹤楼彩凤群鹤竖幅装饰汉绣","暂无资料","纹样判定：凤凰、花草或云纹、黄鹤楼、云鹤或山水，属于自然纹样；寓意判定：承载武汉地域文化记忆，属于精神信仰类；色彩判定：主色比例为金色占比40%，黄色占比16%，绿色占比15%，橙色占比14%，红色占比8%，归多色系"
"HE-H-S-R02","红底古黄鹤楼群鹤方形绣片","暂无资料","纹样判定：黄鹤楼、云鹤或山水、仙鹤、云纹或日月意象，属于人文 / 民俗纹样；寓意判定：承载武汉地域文化记忆，属于精神信仰类；色彩判定：主色比例为棕色占比33%，金色占比26%，绿色占比15%，橙色占比12%，红色占比7%，归红色系"
"HE-N-B-M03","喜迎二十大金凤和平牡丹主题汉绣","纹样判定：金凤、牡丹、和平鸽、麦穗，均为自然物象；寓意判定：祈愿国家昌盛、民生富足、国泰安宁，属于吉祥祈福类；色彩判定：金、红、粉、绿、黄、白多色搭配均衡，无单一主色","纹样判定：凤凰、花草或云纹、牡丹、花叶，属于自然纹样；寓意判定：寓意祥瑞、美好与兴盛、寓意富贵、繁荣与圆满，属于吉祥祈福类；色彩判定：主色比例为红色占比61%，黄色占比9%，绿色占比8%，橙色占比5%，金色占比4%，归多色系"
"HE-H-S-A02","圆框金线黄鹤楼山水汉绣","暂无资料","纹样判定：黄鹤楼、云鹤或山水、仙鹤、云纹或日月意象，属于人文 / 民俗纹样；寓意判定：承载武汉地域文化记忆，属于精神信仰类；色彩判定：主色比例为灰色占比30%，橙色占比23%，黄色占比18%，黑色占比13%，红色占比7%，归金色系"
"HE-N-B-M14","五彩彩凤祥云局部绣片","色彩判定：黑底搭配绿、红、金、蓝多色，多色系","纹样判定：凤凰、花草或云纹，属于自然纹样；寓意判定：寓意祥瑞、美好与兴盛，属于吉祥祈福类；色彩判定：主色比例为黑色占比45%，橙色占比16%，蓝色占比12%，绿色占比9%，黄色占比8%，归多色系"
"HE-N-B-B04","旭日金龙戏珠蓝底汉绣","暂无资料","纹样判定：龙、祥云，属于自然纹样；寓意判定：寓意祥瑞、护佑与兴盛，属于吉祥祈福类；色彩判定：主色比例为蓝色占比39%，黑色占比21%，灰色占比10%，红色占比7%，黄色占比4%，归蓝绿色系"
"HE-N-B-M05","松鹤延年圆形框装汉绣","暂无资料","纹样判定：仙鹤、云纹或日月意象，属于自然纹样；寓意判定：寓意长寿、清雅与安康，属于吉祥祈福类；色彩判定：主色比例为黑色占比26%，橙色占比24%，黄色占比19%，灰色占比11%，红色占比9%，归多色系"
"HE-N-S-A01","楚凤江城图圆框汉绣","纹样判定：主体凤凰、江水、花草，属于自然物象；寓意判定：楚凤为荆楚图腾，承载先祖、地域文脉信仰，属精神信仰类；色彩判定：金线银线盘绣为画面核心视觉，彩色仅少量点缀","纹样判定：凤凰、花草或云纹，属于自然纹样；寓意判定：按HE寓意分类归为精神信仰类；色彩判定：主色比例为黑色占比24%，黄色占比22%，蓝色占比18%，绿色占比11%，红色占比11%，归金色系"
"HE-H-L-M10","楚式对称凤鹿复古白地汉绣","暂无资料","纹样判定：凤凰、花草或云纹，属于人文 / 民俗纹样；寓意判定：按HE寓意分类归为生活志趣类；色彩判定：主色比例为灰色占比37%，橙色占比27%，黄色占比22%，白色占比5%，黑色占比5%，归多色系"
"HE-N-B-B14","橄榄绿底双鹤朝日圆台屏绣芯","暂无资料","纹样判定：仙鹤、云纹或日月意象，属于自然纹样；寓意判定：寓意长寿、清雅与安康，属于吉祥祈福类；色彩判定：主色比例为绿色占比69%，黄色占比17%，蓝色占比5%，归蓝绿色系"
"HE-N-B-M07","橙底荷塘花鸟围兜汉绣","暂无资料","纹样判定：荷花、莲叶或水禽、花鸟、蝶或草木，属于自然纹样；寓意判定：寓意和美、清雅与生生不息、寓意美好、富贵与自然生趣，属于吉祥祈福类；色彩判定：主色比例为黑色占比23%，橙色占比19%，棕色占比13%，蓝色占比13%，绿色占比11%，归多色系"
"HE-N-B-B13","湖绿底国色天香牡丹蝴蝶方形绣片","暂无资料","纹样判定：牡丹、花叶、蝴蝶、花鸟，属于自然纹样；寓意判定：寓意富贵、繁荣与圆满、寓意美好与自然生趣，属于吉祥祈福类；色彩判定：主色比例为蓝色占比66%，绿色占比12%，红色占比8%，黄色占比4%，归蓝绿色系"
"HE-N-B-B11","湖蓝底描金牡丹绣片","色彩判定：湖蓝底色为视觉核心，蓝黑色系","纹样判定：牡丹、花叶，属于自然纹样；寓意判定：寓意富贵、繁荣与圆满，属于吉祥祈福类；色彩判定：主色比例为蓝色占比49%，灰色占比29%，黑色占比12%，黄色占比8%，归蓝绿色系"
"HE-H-B-M02","湘莲闹三棒鼓舞民俗人物汉绣","暂无资料","纹样判定：荷花、莲叶或水禽、人物、宗教或民俗故事元素，属于人文 / 民俗纹样；寓意判定：寓意和美、清雅与生生不息，属于吉祥祈福类；色彩判定：主色比例为灰色占比31%，黑色占比22%，白色占比16%，红色占比14%，蓝色占比6%，归多色系"
"HE-N-B-M06","浅灰底牡丹八宝吉祥纹衣饰汉绣","暂无资料","纹样判定：牡丹、花叶，属于自然纹样；寓意判定：寓意富贵、繁荣与圆满，属于吉祥祈福类；色彩判定：主色比例为灰色占比25%，橙色占比19%，绿色占比14%，红色占比13%，蓝色占比11%，归多色系"
"HE-N-L-A13","盘金凤凰羽翼局部绣","暂无资料","纹样判定：凤凰、花草或云纹，属于自然纹样；寓意判定：按HE寓意分类归为生活志趣类；色彩判定：主色比例为黄色占比62%，黑色占比12%，金色占比9%，棕色占比7%，橙色占比6%，归金色系"
"HE-N-B-R02","朱红底福字花卉蝙蝠方形绣片","暂无资料","纹样判定：蝙蝠、寿字或花果、福字、花卉或蝙蝠，属于自然纹样；寓意判定：寓意福寿、纳福与安康、寓意纳福、喜庆与平安，属于吉祥祈福类；色彩判定：主色比例为红色占比55%，橙色占比13%，黄色占比11%，粉色占比6%，绿色占比4%，归红色系"
"HE-N-B-B05","黑底福寿瓜果彩蝶方形装饰汉绣","暂无资料","纹样判定：寿字、花果或祥瑞纹样、福字、花卉或蝙蝠，属于自然纹样；寓意判定：寓意长寿、安康与福寿双全、寓意纳福、喜庆与平安，属于吉祥祈福类；色彩判定：主色比例为黑色占比27%，绿色占比24%，金色占比14%，红色占比14%，黄色占比13%，归蓝绿色系"
"HE-N-L-B01","白地粉荷蜜蜂小品汉绣","暂无资料","纹样判定：荷花、莲叶或水禽，属于自然纹样；寓意判定：按HE寓意分类归为生活志趣类；色彩判定：主色比例为橙色占比60%，红色占比21%，黄色占比12%，棕色占比4%，归蓝绿色系"
"HE-N-B-M02","紫花对条浅白底戏服汉绣","暂无资料","纹样判定：按HE分类归为自然纹样；寓意判定：按HE寓意分类归为吉祥祈福类；色彩判定：主色比例为橙色占比54%，棕色占比24%，红色占比9%，黄色占比5%，黑色占比5%，归多色系"
"HE-N-B-B08","紫龙戏珠蓝底装饰绣片","暂无资料","纹样判定：龙、祥云，属于自然纹样；寓意判定：寓意祥瑞、护佑与兴盛，属于吉祥祈福类；色彩判定：主色比例为蓝色占比77%，紫色占比16%，归蓝绿色系"
"HE-N-B-R04","红底松鼠葡萄对幅汉绣","暂无资料","纹样判定：松鼠、葡萄藤蔓，属于自然纹样；寓意判定：寓意多子、丰收与延绵，属于吉祥祈福类；色彩判定：主色比例为红色占比55%，橙色占比14%，黄色占比9%，绿色占比8%，黑色占比5%，归红色系"
"HE-H-B-R09","红底金线青绿五爪龙圆团绣片","色彩判定：大红绸缎基底为画面核心视觉，红色系","纹样判定：龙、祥云，属于人文 / 民俗纹样；寓意判定：寓意祥瑞、护佑与兴盛，属于吉祥祈福类；色彩判定：主色比例为红色占比45%，黄色占比14%，蓝色占比12%，绿色占比11%，金色占比5%，归红色系"
"HE-H-S-R08","红底金线黄鹤楼双凤楚纹汉绣","暂无资料","纹样判定：凤凰、花草或云纹、黄鹤楼、云鹤或山水，属于人文 / 民俗纹样；寓意判定：承载武汉地域文化记忆，属于精神信仰类；色彩判定：主色比例为红色占比83%，橙色占比5%，黄色占比4%，归红色系"
"HE-N-B-B07","八鹤祥云黑檀镂空圆台屏","色彩判定：灰蓝缎面基底为主，金、白、红丝线点缀，蓝黑色系","纹样判定：仙鹤、云纹或日月意象，属于自然纹样；寓意判定：寓意长寿、清雅与安康，属于吉祥祈福类；色彩判定：主色比例为黑色占比62%，黄色占比16%，橙色占比8%，红色占比4%，蓝色占比4%，归蓝绿色系"
"HE-N-L-M08","翠竹双绶带鸟白地绣片","暂无资料","纹样判定：绶带鸟、竹，属于自然纹样；寓意判定：按HE寓意分类归为生活志趣类；色彩判定：主色比例为绿色占比41%，红色占比19%，蓝色占比17%，灰色占比12%，黑色占比5%，归多色系"
"HE-N-B-R07","荣华富贵牡丹蝴蝶圆台屏","色彩判定：红粉牡丹为画面视觉核心，红色系","纹样判定：牡丹、花叶、蝴蝶、花鸟，属于自然纹样；寓意判定：寓意富贵、繁荣与圆满、寓意美好与自然生趣，属于吉祥祈福类；色彩判定：主色比例为黑色占比60%，黄色占比20%，红色占比13%，绿色占比4%，归红色系"
"HE-N-L-M01","荷塘双鹤汉绣","暂无资料","纹样判定：仙鹤、云纹或日月意象、荷花、莲叶或水禽，属于自然纹样；寓意判定：按HE寓意分类归为生活志趣类；色彩判定：主色比例为黄色占比47%，绿色占比19%，橙色占比9%，黑色占比8%，金色占比6%，归多色系"
"HE-N-S-B04","蓝底金凤牡丹展陈汉绣","暂无资料","纹样判定：凤凰、花草或云纹、牡丹、花叶，属于自然纹样；寓意判定：按HE寓意分类归为精神信仰类；色彩判定：主色比例为蓝色占比81%，归蓝绿色系"
"HE-N-B-M13","蓝白牡丹对称黑底绣片","色彩判定：黑底搭配蓝、红、白多色，多色系","纹样判定：牡丹、花叶，属于自然纹样；寓意判定：寓意富贵、繁荣与圆满，属于吉祥祈福类；色彩判定：主色比例为黑色占比71%，黄色占比7%，白色占比7%，灰色占比6%，归多色系"
"HE-N-B-B06","蓝调青花百花蝴蝶长款竖幅汉绣","暂无资料","纹样判定：蝴蝶、花叶、花鸟、蝶或草木，属于自然纹样；寓意判定：寓意美好与自然生趣、寓意美好、富贵与自然生趣，属于吉祥祈福类；色彩判定：主色比例为黑色占比31%，黄色占比25%，蓝色占比17%，灰色占比15%，绿色占比9%，归蓝绿色系"
"HE-H-B-R03","红底蝶仙游鱼神话装饰汉绣","暂无资料","纹样判定：蝴蝶、花叶，属于人文 / 民俗纹样；寓意判定：寓意美好与自然生趣，属于吉祥祈福类；色彩判定：主色比例为红色占比60%，橙色占比16%，黄色占比9%，金色占比4%，归红色系"
"HE-N-B-M09","浅白底蝶恋花牡丹圆形绣片","暂无资料","纹样判定：牡丹、花叶、蝴蝶、花鸟，属于自然纹样；寓意判定：寓意富贵、繁荣与圆满、寓意美好与自然生趣，属于吉祥祈福类；色彩判定：主色比例为红色占比31%，绿色占比26%，金色占比13%，黄色占比10%，橙色占比9%，归多色系"
"HE-H-S-R01","红底西十七座降龙尊者人物汉绣","暂无资料","纹样判定：龙、祥云、人物、宗教或民俗故事元素，属于人文 / 民俗纹样；寓意判定：承载人物故事、信仰或民俗叙事，属于精神信仰类；色彩判定：主色比例为红色占比59%，橙色占比8%，棕色占比7%，金色占比6%，蓝色占比5%，归红色系"
"HE-H-S-A03","金线黄鹤楼云鹤圆形装饰绣片","暂无资料","纹样判定：黄鹤楼、云鹤或山水、仙鹤、云纹或日月意象，属于人文 / 民俗纹样；寓意判定：承载武汉地域文化记忆，属于精神信仰类；色彩判定：主色比例为黑色占比52%，黄色占比35%，橙色占比4%，归金色系"
"HE-N-B-R06","银杏双喜鹊粉底黑檀圆台屏","色彩判定：粉色缎面基底为画面核心视觉，红色系","纹样判定：喜鹊、银杏或花叶，属于自然纹样；寓意判定：寓意喜事、吉庆与顺遂，属于吉祥祈福类；色彩判定：主色比例为黑色占比52%，橙色占比15%，棕色占比13%，红色占比10%，金色占比5%，归红色系"
"HE-N-B-M08","银杏三锦鲤圆片绣","暂无资料","纹样判定：锦鲤、花叶，属于自然纹样；寓意判定：寓意顺遂、富足与吉庆，属于吉祥祈福类；色彩判定：主色比例为灰色占比51%，黄色占比23%，橙色占比12%，金色占比9%，归多色系"
"HE-N-B-R05","锦鸡牡丹红底汉剧服饰绣片","色彩判定：大红缎面基底，红色系","纹样判定：牡丹、花叶、花鸟、蝶或草木，属于自然纹样；寓意判定：寓意富贵、繁荣与圆满、寓意美好、富贵与自然生趣，属于吉祥祈福类；色彩判定：主色比例为红色占比83%，橙色占比9%，归红色系"
"HE-N-B-M15","楚式对称凤鹿复古白地汉绣","纹样判定：复刻战国楚漆器对称构图，含双凤、双鹿、楚式卷草云纹，属于荆楚历史人文古纹样；寓意判定：还原先秦楚图腾美学，凤喻祥瑞、鹿代福禄，主打怀古清赏，归文人雅趣类；色彩判定：米白基底，红、蓝、金、褐多色丝线均衡搭配，无单一主导视觉色调，判定多色系 M","纹样判定：凤凰、花草或云纹，属于自然纹样；寓意判定：寓意祥瑞、美好与兴盛，属于吉祥祈福类；色彩判定：主色比例为蓝色占比71%，绿色占比9%，黄色占比6%，红色占比5%，归多色系"
"HE-N-B-B02","青蓝蝶恋花绣球汉绣","纹样判定：绣球花、蝴蝶、花叶，属于自然花鸟物象；寓意判定：寓意富贵圆满、四季平安，属于吉祥祈福类；色彩判定：全幅深浅青蓝为主体视觉，仅细金线勾边，无大面积彩色","纹样判定：绣球、花叶、蝴蝶、花鸟，属于自然纹样；寓意判定：寓意圆满与喜庆、寓意美好与自然生趣，属于吉祥祈福类；色彩判定：主色比例为蓝色占比64%，黑色占比13%，灰色占比8%，黄色占比7%，绿色占比4%，归蓝绿色系"
"HE-H-L-M11","仿古青铜花觚对幅汉绣","暂无资料","纹样判定：器物、回纹或博古纹样，属于人文 / 民俗纹样；寓意判定：承载博古清赏与生活志趣，属于生活志趣类；色彩判定：主色比例为黄色占比35%，黑色占比27%，灰色占比19%，蓝色占比15%，归多色系"
"HE-N-B-M04","浅白底鸳鸯荷花繁花方形绣片","暂无资料","纹样判定：荷花、莲叶或水禽、鸳鸯、花鸟，属于自然纹样；寓意判定：寓意和美、清雅与生生不息、寓意夫妻和合、婚姻美满，属于吉祥祈福类；色彩判定：主色比例为黑色占比78%，绿色占比5%，红色占比4%，黄色占比4%，归多色系"
"HE-H-B-M01","麒麟送子圆补汉绣","纹样判定：包含孩童人物、麒麟民俗故事场景，属于人文民俗纹样；寓意判定：祈求添丁、子孙贤德，属于吉祥祈福类；色彩判定：红、青、粉、黄、绿多色均匀铺陈，无单一主导色调","纹样判定：麒麟、人物或花草，属于人文 / 民俗纹样；寓意判定：寓意添丁、仁德与吉祥，属于吉祥祈福类；色彩判定：主色比例为红色占比34%，绿色占比20%，黄色占比14%，黑色占比11%，蓝色占比7%，归多色系"
"HE-H-B-R02","红底麻姑献寿人物祝寿汉绣","暂无资料","纹样判定：寿字、花果或祥瑞纹样、人物、宗教或民俗故事元素，属于人文 / 民俗纹样；寓意判定：寓意长寿、安康与福寿双全，属于吉祥祈福类；色彩判定：主色比例为红色占比43%，黄色占比16%，蓝色占比11%，橙色占比8%，粉色占比7%，归红色系"
"HE-H-S-B15","黑底满铺楚凤云水横向大型壁挂汉绣","暂无资料","纹样判定：凤凰、花草或云纹，属于人文 / 民俗纹样；寓意判定：按HE寓意分类归为精神信仰类；色彩判定：主色比例为黑色占比28%，橙色占比16%，蓝色占比15%，绿色占比14%，红色占比10%，归蓝绿色系"
"HE-H-L-A14","黑底盘金楚白虎圆形工艺展示绣片","暂无资料","纹样判定：虎、云纹或楚式装饰，属于人文 / 民俗纹样；寓意判定：按HE寓意分类归为生活志趣类；色彩判定：主色比例为黄色占比30%，橙色占比27%，红色占比22%，黑色占比12%，金色占比7%，归金色系"
"HE-H-B-A12","黑底金线正龙海水江崖绣片","暂无资料","纹样判定：龙、祥云，属于人文 / 民俗纹样；寓意判定：寓意祥瑞、护佑与兴盛，属于吉祥祈福类；色彩判定：主色比例为橙色占比57%，黑色占比31%，黄色占比6%，红色占比5%，归金色系"
"HE-N-B-R08","红底龙凤呈祥戏珠大幅绣片","暂无资料","纹样判定：龙凤，属于自然纹样；寓意判定：寓意祥瑞圆满，属于吉祥祈福类；色彩判定：主色比例为红色占比67%，金色占比10%，橙色占比5%，黄色占比4%，归红色系"
